Turkish,English
barış,peace
madem,since
yıllık,yearly
tavsiye,advice
geliyorlar,they come
idare,administration
tavuk,chicken
okulda,at school
kıza,girl
kendisini,himself
ted,TED
bişey,something
şimdiden,already
yapıyorlar,They are doing
kevin,kevin
onda,tenth
konuşmam,My speech
üzerinden,over
yarar,benefit
şansın,the chance
ölecek,it will die
şeyim,My stuff
sakıncası,mind
gözden,review
kayıt,record
joey,joey
kullan,use
sormak,ask
ettiler,they
yapılan,done
mil,shaft
hissettim,I felt
yasal,legal
kocam,my husband
bebeği,his baby
ettiği,Watch it
bizde,us
baskı,printing
birisin,one
yaptığımız,we do
annemi,my mother
alalım,Let's
İngiliz,British
lee,lee
savaşı,war
sayılır,counted
unuttum,I forgot
olmaktan,being
parlak,bright
neymiş,neymiş
hepimizin,all of us
iz,trace
amerika,America
yakaladım,I caught
şeylerin,things
kırıklığına,disappointed
vahşi,wild
aşağılık,Despicable
uyuyor,sleeping
sürer,takes
sağlık,health
banka,bank
insanı,human
İkimiz,The two of us
geçirdim,I spent
yangın,fire
yaparken,while
kaçtı,escaped
iyisin,you're good
pazar,market
pete,pete
vermeye,give
elektrik,electricity
binbaşı,major
istemiştim,I want
başkanı,chairman
thomas,thomas
demiştin,You said
yapıp,make
olmalıyım,I should be
çalıştığını,it works
bakmayın,look
yolculuk,trip
çalıştı,worked
edilmiş,substituted
yıllardır,for years
ameliyat,operation
vereyim,Let me give you
canavar,monster
istiyordum,I wanted
şansımız,our chances
korku,fear
bırakmak,To leave
eline,hands
ihanet,betrayal
konuşuyorsun,you are talking
luke,luke
sevdiğini,love it
tespit,fixing
boşver,Never mind
bunda,herein
farkındayım,I am aware
prenses,princess
düşündün,you think
yargıç,judge
söylemiş,He said it was
cumartesi,Saturday
dediğimi,I also
öldüreceğim,I will kill
tanışmak,meet
götürün,take
karışık,mixed
eğitim,education
bilen,knowing
televizyon,television
söylemedi,he did not say
değilmiş,not
fransız,French
saç,hair
sonuç,result
etkileyici,impressive
doğruyu,right
ardından,next
batı,West
nazik,kind
başından,At the beginning
çin,China
görüşmek,discuss
düğün,wedding
durma,stop
sean,sean
sonuçta,eventually
olsaydım,if I were
alma,taking
itibaren,from
gerekirdi,should
koç,coach
tehlikeye,danger
of,Ugh
takımı,team
görevi,task
ordu,army
getirdin,brought
filan,and so on
gecesi,night
polise,police
anlaşılan,apperantly
taksi,taxi
lisa,lisa
carter,carter
çıkacak,will be
içeride,inside
duruma,condition
kazanmak,win
kar,snow
etmelisin,You should
bunca,so many
kalıyor,staying
bizler,ourselves
şeydi,It was something
boşa,down the drain
bulacağım,I find
yalancı,liar
kadınla,woman
şirket,company
başlangıç,start
müdür,manager
işimiz,our business
vermeyeceğim,I will not
bilirsiniz,you know
kağıt,paper
kokuyor,smells
söylediği,say that
girerim,I'll
dost,friend
söylediğini,tell
silahlı,armed
matt,matt
kyle,kyle
arabanın,car
anna,anna
dönün,Return
varken,while
emri,warrant
inanmıyorum,I do not believe
nedenini,why
anahtar,key
tadını,enjoy
kardeşi,brother
akıl,mind
kredi,credit
kimdi,who
söyleyebilirim,I can tell you
sola,left
şeylere,things to
kurt,Kurd
sus,ornamental
gönderdi,sent
adi,First Name
inanıyor,believes
yaparız,we do
tecavüz,rape
ortasında,midst
İç,Inner
gösteri,show
ihtiyacınız,you need
olmanı,not the
vurdu,shot
geçirmek,put in
param,my money
kalır,stays
kendinizi,yourself
biriydi,it was one
çıkarmak,eject
ekip,team
rus,Russian
ailen,the family
bulundu,found
olacaktı,It would be
etmeliyiz,We have
kaldın,you're
scott,scott
tanıştığımıza,to meet
tarih,history
bakıyorsun,looking at you
arayacağım,I will call
örnek,sample
peşinden,after
yılda,per annum
üstelik,moreover
olmanın,Do not be
baktım,I looked
koruma,protection
istemezsin,you do not want
gene,again
konuşuruz,talking
eğlence,entertainment
dediğini,it also
daniel,Daniel
onca,onca
kimsiniz,who are you
yirmi,twenty
teknik,technical
söylediğin,you say
İşi,Heat
söyleyemem,I can not say
unuttun,you forgot
günlük,diary
fahişe,whore
ulusal,National
parası,money
derken,then
öğleden,afternoon
hatam,my mistake
merkezi,central
şehirde,in the city
tanesi,them
umurunda,cares
doğrusu,actually
ediyordum,I was wondering
hakkındaki,about
bulmuş,found
diyorlar,they say
yapmalıyız,We have to do
sevimli,cute
bulunan,situated
yolun,the road
yüzüne,face
değişti,changed
burdan,from here
dean,dean
tanımıyorum,I do not know
hissediyorsun,you feel
şuradaki,there
mahkeme,court
jones,Jones
kapıdan,the door
başarısız,unsuccessful
van,van
zenci,black
öldürüldü,He was killed
boyu,length
gitmeye,to go
mutlaka,surely
tren,train
kafanı,head
gecenin,night
vermiş,He has given
ilişki,relationship
oluruz,we have
serseri,punk
okudum,I read
sürtük,slut
dersiniz,your course
mücadele,struggle
maalesef,Unfortunately
vegas,vegas
kaltak,bitch
kuralları,rules
martin,martin
halt,heck
yatağa,To bed
kalacağım,I'll stay
çocuklara,children
cesaret,courage
dayan,Hang on
sizler,you
buranın,this place
yerin,the place
çekip,pull
fikri,idea
olduğumuz,we have
servis,service
şeyle,with something
dövüş,fight
chloe,chloe
suçu,water seller
elbise,dress
etmeliyim,I have
dahi,even
duygusal,emotional
adamların,men
vermem,I do not give
usta,master
konuşmamız,our talk
dolarlık,dollar
kullanıyor,uses
yaptınız,You did
bakar,looks
şehri,city
evime,home
aramaya,in search of
denedim,I've tried
tanrıya,god
kahvaltı,breakfast
karşılık,provisions
yapmayın,do not
derler,they say
utanç,shame
onur,honor
alakası,relevance
kaybettik,we lost
içindeki,in
söylesene,tell me
bulacağız,We will find
başını,head
hiçbiri,none
ettiğin,you've
diş,tooth
ülke,country
zamanın,time
tepki,reaction
cok,very
getirmek,to bring
sanıyor,He thinks
saati,time
görebiliyorum,I can see
senatör,senator
edici,Curing
ucuz,cheap
gözüküyor,it seems
gaz,gas
otel,hotel
ödeme,payment
İkiniz,both of you
çalışmaya,to work
telefonda,on the phone
tip,medicine
yaşıyorum,I live
planı,plan
anahtarı,switch
kıpırdama,hold still
kalbi,heartland
lois,lois
kanı,conclusion
sorabilir,You can ask
denen,tested
gören,sighted
tıbbi,medical
nokta,dot
yasak,forbidden
tanık,witness
yapılmış,made
sefere,time
sağa,right
işimi,my job
giderim,I will go
şehrin,the city
kalma,stay
heyecan,excitement
sanat,art
isterseniz,If you want
önümüzdeki,forthcoming
eh,City
gördüğün,you see
mıydın,Did you
yahudi,Jewish
nedenle,Therefore
muyuz,Are we
demedim,I did not say
düşünüyorsunuz,you think
ekibi,team
ateşli,hot
intihar,suicide
yerel,local
carl,carla
gidebilir,can go
federal,federal
düşünmek,think
sosyal,social
bil,know
sordum,I asked
varım,I have
gerekmez,not necessary
atış,shot
durdur,stop
km,km
olabilirdi,could
ufaklık,kid
olağanüstü,exceptional
almam,I get
kayboldu,disappeared
nihayet,finally
insanlarla,people
tv,TV
üstü,change
yapabileceğim,I can do
düşük,low
edersen,will you
oluyorum,I'm
ödül,prize
neresi,where
bekliyorsun,waiting for you
söyleyebilir,can you tell
tanrı'ya,god
bozuk,broken
yapılacak,to do
posta,mail
resmen,officially
öyledir,it is
derdin,the trouble
benimki,mine
kullanmak,use
İlginç,Interesting
döndüm,I returned
tarihi,historical
kamera,camera
cesedi,corpse
hay,hay
İstersen,If you want
anlamıyorsun,you do not understand
bulun,find
derdi,say
İşler,Works
uçuş,Flight
ateşi,fire
hayata,To life
birisini,one of the
şansım,I had a chance
etrafında,around
adamsın,You are the man
çalışıyordu,I was trying
paraya,money
kural,rule
harikaydı,it was great
etmesi,Do not
and,and
gitmiyor,do not go
şeylerden,anything from
bakıyor,looking
attı,threw
çekmek,attract
meselesi,matter of
değilsiniz,you do not
istemez,does not want
ayakta,standing
tak,wear
sendin,You're the one
duydunuz,You heard
le,la
çocuğa,children
kaldık,We're
bulup,find
bas,head
söylemeliyim,I must say
maç,match
gitmemiz,to go
tanıdığım,I know
sarı,yellow
tuzak,trap
profesyonel,professional
bahsediyorum,I'm talking about
ihtimalle,probably
okuldan,from school
gördüğüme,I saw
ilgi,interest
bırakma,leaving
gerçekte,in reality
evim,my home
eli,his hand
ödünç,on loan
ceza,criminal
saf,pure
şirin,cute
gelirim,revenue
İngilizce,English
genellikle,usually
çiçek,flower
yara,wound
etmiyorum,I do not
canın,the soul
fikrini,idea
çıkma,emergence
olmazsa,unless
geceleri,at night
keresinde,at times
kaba,rude
zorla,hard
kalıp,mold
anlatmak,tell
emredersiniz,"Yes, sir"
büyü,Magic
şirketi,company
takdir,discretion
arabası,car
açıkçası,frankly
hakkımda,about me
jason,jason
bölümü,section
ölümü,death
çalışmıyor,not working
tarafında,on the side
verebilir,can give
anneme,to my mom
genel,general
hastalık,illness
icin,for
huzur,serenity
geliyorsun,You're coming
hastanede,at hospital
aklına,his mind
gelmeden,arriving
kadına,woman
kızıl,red
arabadan,the car
sevgi,love
yoğun,Dense
verdik,We gave
olunca,when
inşa,construction
içinden,through
yapması,making
sinyal,signal
anlattı,told
gibidir,like this
öyleydi,it was
seyirler,seyirler
haftada,per week
dışına,outside
acayip,strange
getireyim,I bring
görelim,see
çıkıyorum,getting out
yüzük,ring
göze,to eye
dinlemek,listen
yürüyün,walk
öldüren,killed
odaya,room
Arthur,Arthur
tehlike,danger
unutmayın,remember
bıçak,knife
den,from
öbür,glutton
süt,milk
açıkça,clearly
kafasını,head
rose,rosa
öldürdüm,I killed
birinde,in one
ross,ross
sokak,Street
fiziksel,physical
gideyim,Let Go
bunlara,to these
simdi,now
silahları,weapons
seviyorsun,love you
dediğin,you say
etsin,you've
yardımına,help
dev,giant
paramı,my money
kendinden,self
gönder,Send
eşlik,accompaniment
içmek,drink
zamanım,time
araç,vehicle
inan,believe
çocukken,kid
çocuğum,my child
red,rejection
adımı,the step
nükleer,nuclear
pes,pES
dahaki,more on
dert,trouble
verdiler,they gave
günlerde,in the days
birleşik,unified
sağolun,thanks
haberler,news
kartı,card
şişe,bottle
kilometre,kilometer
derim,I say
yumurta,egg
eksik,missing
sağlıklı,healthy
kutu,box
İçeride,Inside
amerikalı,American
ed,Contact
olamazsın,you can not
gör,see
nathan,nathan
olmalıyız,We must be
hükümet,government
çıkalım,Let's go
programı,program
göstereyim,Let me show you
geldiler,they came
düşündüğüm,I think
hanım,lady
nakit,cash
hafif,light
korkuyor,afraid
alışveriş,shopping
pişman,regret
kendilerini,themselves
his,feeling
izle,watch
di,di
görmemiştim,I have never seen
lord,lord
atla,skip
bedava,free
toplantı,meeting
gücünü,power
yapmaz,do not do
kendisine,to herself
kontrolü,control
karşısında,opposite
romantik,romantic
n'aber,whats up
edemezsin,you can not
babasının,the father
çeviren,translated
arayın,call
bakarım,I look
pahalı,expensive
söyleyen,said
görünce,seeing
indir,download
alice,alice
tıp,medicine
kişilik,personality
eyalet,state
yardımı,help
görmüştüm,I had seen
partisi,party
atmak,throw away
basın,Press
çıkardın,you did
bıktım,I'm tired
ismini,your name
rol,role
stan,stan
aniden,suddenly
verdiğin,you gave
sizde,in the first
korkma,do not be afraid
ilgilendirmez,do not care
bildiğin,you know
şerefe,Cheers
temel,basic
hoşgeldiniz,welcome
bitmedi,finished
hele,hele
katı,solid
karşılığında,in return
köpeği,dog
giderken,en route
olmasa,although
hakim,judge
riske,risks
gelene,from
geceyi,night
alacağız,We will
aksi,opposite
üzücü,sad
dış,tooth
bardak,glass
arkadaşlarım,my friends
sadık,loyal
yaparsan,If you do
ediyorsunuz,curious
yerlere,place to
buçuk,half
bulmalıyız,We need to find
bildiğini,you know
çıktım,I went
uyku,sleep
biliyordun,you know
bilmeni,know
vampir,vampire
düşünmüyorum,I do not think
testi,test
gelmişti,He had come
gözleri,eyes
emily,emily
geçerli,valid
jenny,Jenny
şüphe,doubt
cehennem,hell
yapmıyorum,I do not do
yazı,article
ailenin,the family
kızları,daughters
yakala,Catch
olduğunuz,you
you,you
tim,team
şişko,fat
kafam,my head
kalbini,your heart
çizgi,line
suya,water
öldürürüm,I will kill
kelly,kelly
st,str
öncelikle,Firstly
farkına,the difference
kararı,decision
göreceksin,you will see
göstereceğim,I'll show
alarm,alarm
tahliye,evacuation
endişe,concern
buldunuz,You found
olmadığına,not that
birbirine,each other
andan,moment
anlamıyor,does not understand
krizi,crisis
maçı,the match
yanı,so
önceydi,it was before
üyesi,member of
değişiklik,alteration
arkada,behind
sayı,number
almayı,take
komutanım,my commander
kapıya,the door
İnsanları,People
geçici,temporary
gönüllü,volunteer
çılgınca,crazy
karmaşık,complex
koyun,sheep
derecede,degree in
ayı,bear
vermiyor,does not give
başım,My head
umrumda,care
aldılar,they took
haberim,My news
seyahat,travel
taze,fresh
söylüyorlar,they say
sezon,season
tuvalete,the toilet
rock,rock
tanrının,the gods
işkence,torture
prens,prince
ediyordu,he would
yumuşak,soft
banyo,bathroom
devlet,state
göreceğiz,We'll see
sevdiğin,you love
biter,ends
sorunum,My problem
aşkım,my love
geniş,Large
marcus,marcus
vaktim,my time
veda,farewell
mahkum,convict
arası,between
İkisi,The two
yatakta,on the bed
İğrenç,Disgusting
oy,vote
iddia,allegation
taraf,side
rahip,priest
um,hope
hızla,quickly
seninki,yours
getirir,brings
annemle,with my mom
mac,match
sanıyorum,I think
bela,darned
hakkı,right
çalıştığım,I tried
yılın,the year
hayatında,life
diğeri,other
geçirdi,spent
konuştun,you talk
delik,hole
üzerindeki,on you
sorunumuz,our problem
neredeydin,where have you been
hissediyor,feels
gemiyi,ship
kokusu,smell
annene,to your mother
aydır,months
yapmanı,do
yavaşça,slowly
yaşındaki,year-old
duymadım,I did not hear
pazartesi,Monday
denir,called
ettiniz,You have
adalet,justice
şunları,the following
randevu,appointment
alanı,area
dediği,as well
edebilirsin,you can
vücut,body
olmalısınız,You must be
uçağı,the plane
mısır,Egypt
hemşire,nurse
yarısını,half the
gizlice,secretly
kafana,head
geleceği,the future
konuşuyorum,I'm talking
kurtarmaya,save
aldığını,it takes
şehre,city
aklından,his mind
olmazdı,I would not
gitmeden,you go
kendimizi,ourselves
okulu,school
istediğiniz,you want
iletişim,Contact
kaybetti,lost
partiye,party
yaptılar,They did
düşündüğünü,you think
yapıyordum,I was doing
başkası,somebody else
hazırız,we are ready
verdiğim,I gave
olduğunun,that
anlayamadım,I do not understand
ölen,dying
tanıyorsun,you know
amy,amy
ağzını,mouth
başlar,starts
herneyse,anyway
trafik,traffic
ölür,dies
yüzü,face
sonucu,results
izlemek,watch
bekliyoruz,we are waiting
kart,card
görünmüyor,does not seem
çöp,garbage
bakacağım,I will look
yapmalıyım,I should do
merkez,center
frodo,frodo
victor,victor
biriyim,I am
den,from
alacaksın,you will
açıklama,explanation
bilemezsin,you can not know
morgan,morgan
ekmek,bread
hesap,account
hırsız,thief
sonrası,post-
edward,edward
smith,smith
öldürür,kill
doktora,doctorate
kafası,head
rahatla,relax
babama,my father
başlamak,to start
verirsen,If you give
anı,sudden
özgürlük,freedom
aslına,fidelity
arayan,caller
bakılırsa,judging
istiyordu,he wants
bakarsan,If you look
efendi,master
oğlun,your son
içerisinde,in
planın,the plan
şeydir,thing is
yarıyor,yarıyor
çekiyor,attracts
arkasına,back to
yaptıklarını,they do
istemiyorsun,you do not want
girmiş,entered
atın,take
gösterir,shows
gündür,day
video,video
çalışırken,trying
düşündüğün,you think
geldiğin,coming
sara,epilepsy
milyonlarca,millions
geldiği,he came
çekti,drew
kımıldama,do not move
gideceksin,you go
görünen,visible
öne,forward
vaktimiz,our time
gemisi,ship
halk,people
ilan,ad
ağzına,mouth
doğrudan,directly
hassas,sensitive
kısmını,part
elimi,my hand
jeff,jeff
günden,the day
mucize,miracle
temsil,representation
etmedi,I did not
öğrenci,student
gideriz,we go
annie,annie
Lucy,Lucy
göğüs,chest
olmaması,the lack
er,er
çekin,pull
yaş,age
Susan,Susan
bari,at least
otobüs,bus
duyduğuma,I heard
gerektiği,it should
kişiler,persons
beyefendi,gentleman
dördüncü,fourth
lordum,my lord
halinde,in case of
duş,shower
etmen,factor
aldığım,I received
oynuyor,playing
yüzlerce,hundreds of
Jackie,Jackie
korkuyorsun,are you afraid
günah,sin
kuru,dry
ipucu,hint
tanıdık,familiar
hepimizi,all of us
canı,villain
koku,smell
ağaç,tree
izleri,tracks
duyduğum,I've heard
ölüyor,is happening
gelirse,If you come
babanı,father
havada,in the air
düşünmeye,thinking
olmuştur,has been
oğlumu,my son
etmedim,I did not
veriyorsun,you give
seven,loving
cam,pine
aramak,call
yeteri,enough
rüzgar,wind
Lucas,Lucas
gitmiyorum,I'm not going
geçer,passing
toprak,soil
kırık,broken
net,net
bilet,ticket
unutmuşum,I forgot
yaralı,wounded
pizza,pizza
ölümcül,fatal
heyecanlı,excited
bileyim,I know
geçecek,will pass
sorum,My question
garanti,warranty
üstesinden,overcome
fare,mouse
oku,read
konuşacak,to talk
anlamak,understand
bravo,Bravo
alabilirsin,you can take
gizemli,mysterious
tuttum,I kept
babana,to your father
soruyorum,I ask
orayı,it's
anneni,Your mom
savaşa,fight
dikkatini,attention
gördüğünü,he saw
masa,table
olduk,We have
bendim,it was me
Phil,Phil
kirli,dirty
şişman,fat
sandın,you think
gelsin,you come
düşünüyoruz,we think
yapamaz,can not
kullanarak,using
yazar,Writer
kadınları,women
tutuyor,holding
bırakalım,leave
hoşgeldin,Welcome
paket,package
anlayamıyorum,I can not understand
sürdü,lasted
İçki,Drink
biliyorlar,they know
gibiyim,I'm like
eşcinsel,gay
denemek,try
katta,on the floor
benzin,gasoline
emekli,retired
mm,mm
gelmesini,to come
geçmek,pass
başardın,you did
yaklaşıyor,approaching
evlenmek,get married
yüzüğü,rings
belaya,trouble
anlarsın,you know
alakalı,relevant
dönecek,will return
kalacaksın,You're going
keskin,sharp
dönüş,return
delilik,madness
öylesine,such
gemiye,on board
sürecek,will
seferinde,at a time
konuşacağım,I will talk
hissetmiyorum,I do not feel
açığa,open to
sürede,time
başardık,We were able to
ayakkabı,shoe
bekliyordum,I was expecting
herifin,guy
şok,shock
götüreceğim,I'll take
maymun,the monkey
bekleyen,expectant
ruhu,spirit
hepsinin,All of them
katılıyorum,I agree
iste,Request
elveda,goodbye
sorular,Questions
yaşındayken,the age of
kraliçe,queen
güzelmiş,nice
farkı,difference
verildi,He was given
sonrasında,after that
yardımcısı,help
yaşıyorsun,You live
görüşme,interview
uçağa,on board
bitir,finish it
neyle,with what
Simon,Simon
silahlar,weaponry
yapmalısın,You should do
Jackson,Jackson
yapmayacağım,I will not do
sevdiği,love
amacı,purpose of
kasaba,town
dakikada,in minutes
sipariş,order
korkak,funky
i,I
mutluluk,happiness
hapiste,in prison
paranın,the money
hasar,damage
yaratık,creature
oğlan,boy
biridir,it is one
etkisi,effect
çaldı,rang
şikayet,complaint
yaşa,live
yaptıkları,they do
kaybettin,lose
tanıştım,I met
geminin,the ship
ışığı,light
gidebilirsin,you can go
bakış,view
fırsatı,opportunity
arıyoruz,we're searching
kazandı,won
kötüsü,worse
duymuştum,heard
makine,machine
dondurma,ice cream
bulamadım,I couldnt find it
yetişkin,adult
lex,lex
kimlik,ID
Vince,Vince
girdim,I entered
faydası,benefits
it,it
olalım,Let's
sahne,scene
gittiler,they went
birisinin,one
ederek,by
takma,false
to,to
yetenekli,talented
hayatına,life
İzninizle,with your permission
oyuna,game
müsaade,permit
kazandım,I won
yapardım,I used to do it
alıyorsun,you take
getireceğim,I will bring
gözünü,eye
seçenek,option
renk,color
gözü,eye
vereceksin,You give
durdu,stoped
dönelim,Let's
zafer,victory
hastane,hospital
bayılıyorum,I love
evini,house
kusursuz,perfect
robin,robin
kralı,King of
oluyorsun,you're
sohbet,conversation
çalışacağım,I will work
haftaya,next week
gelme,coming
gerekeni,needed
kendinize,yourself
demiş,said
temin,procurement
evimde,my house
sıfır,zero
arkadaşların,your friends
etmiştim,I've
bulur,finds
Derek,Derek
yakından,closely
belediye,municipality
arıyordum,I was looking for
bina,building
beklemek,wait
yaradı,Create
huh,huh
oyuncak,toy
gitmedi,He did not go
canımı,canımı
sür,take
olmasaydı,Without
sözü,mentioned
gergin,nervous
tatil,holiday
Roger,Roger
olmadığımı,I have
komutan,commander
radyo,radio
patates,potato
uğruna,for the sake of
olaylar,events
sigorta,insurance
motor,engine
bulurum,I find
pilot,pilot
ederken,while
durup,stop
gitmelisin,you should go
yapmadı,He did not
yokmuş,have no
gördük,We saw
louis,louis
grubu,group
şaşırtıcı,amazing
kapatın,close
etmeden,without
arkadaşları,friends
götürmek,take
patlama,explosion
güzelsin,You are beautiful
beğendim,I liked it
yorgun,tired
belada,in trouble
arkadaşını,friend
kaçırdın,You missed
yedek,replacement
girer,enter the
madde,matter
olursan,the matter
aynısını,the same
demir,iron
tadı,its taste
gösterdi,showed
çözüm,solution
başta,first
kadınların,women
dna,DNA
fred,fred
olayın,event
kalabalık,crowded
hank,hank
program,program
şiddet,violence
görebilir,can see
miydim,Did I
altından,under
uzağa,away
yılan,snake
izni,permit
içindir,it is for
başladın,start
dönmüş,frozen
getiren,that
deneme,trial
kalmaz,Do not stay
göt,ass
kurtarma,recovery
İnanamıyorum,I cant believe
öğrendin,did you learn
sanmam,I do not think so
görür,sees
kaynağı,source
öpücük,kiss
geçmişte,in the past
alet,tool
fırtına,storm
duvara,to Wall
cenaze,funeral
peşine,advance to
sokakta,in the street
çıkardı,pulled out
julie,julie
kod,code
ülkenin,the country
tyler,tyler
tehlikede,in danger
verelim,Let's
paranı,money
oyuncu,player
topla,gather
grace,grace
homer,homer
mesajı,message
olmayabilir,may not be
düşünün,think
anladınız,you tell
arkaya,back
açıdan,in terms of
aldığı,receives
götürecek,will take
yumruk,punch
sistem,system
görüntü,image
gidiyorsunuz,Are you going
metal,Metal
idi,was
sordu,asked
bırakıyorum,I am quitting
müşteri,customer
edemez,I can not
çikolata,chocolate
edebiliriz,we can
görmüyor,does not see
madam,madam
eşyalarını,their belongings
intikam,revenge
maria,marie
manyak,maniac
çalışıyorlar,they're trying to
kurtulmak,escape
ölüme,to death
ihtiyaçları,need
sırası,sequence
öyleyim,I am
herkesten,from everyone
kapının,door
olabiliriz,we can be
randy,randy
kibar,polite
haberin,the news
yerinden,displaced
arkanı,the rear
olmamış,never been
karen,karen
arkadaşının,friend
nesin,what you
oldugunu,oldugunu
elimizden,our best
eş,spouse
konuşurken,talking
alıyoruz,we take
olsan,olsen
büyükanne,grandmother
tatmin,satisfaction
düşünmemiştim,I think
robot,robot
gerçi,though
öteki,other
kaçmak,escape
şükürler,thank
istiyorsanız,If you want
doug,doug
gerekiyorsa,If you need
devre,circuit
kurtardı,saved
ten,skin
saldırıya,attack
salı,Tuesday
geçin,switch
değiştirmek,change
howard,howard
öldürdüğünü,he killed
çıkmaya,evolution
tan,diagnosis
erdi,It ended
koydum,I put
golf,golf
terry,terry
minik,tiny
soracağım,I will ask
cezası,penalty
makinesi,machine
birinden,from one
yüzüme,my face
beğendin,like you
dolara,dollars
tuvalet,toilet
çağır,call
bebeğin,baby
buyrun,here you are
bırakmış,left
minnettarım,I'm grateful
pembe,pink
yerim,I eat
anlamaya,understanding
mermi,bullet
süreliğine,while the
izini,permit
havalı,cool
geliyoruz,we are coming
öldürme,kill
yetecek,enough to
yaşasın,hooray
kafasına,head
geçip,through
bakıp,look
davranıyorsun,you're acting
korumaya,protection
kurbanın,the victim
olmamız,we have
açmak,open
mahkemeye,court
güne,day
yakalayın,catch
oturuyor,sitting
herifler,motherfuckers
meyve,fruit
kardeşini,brother
bayılırım,I love
bruce,bruce
roy,roy
fazladan,extra
laf,word
halen,currently
oydu,he was
gitmesine,go to
katılmak,join
numarayı,number
giriyor,it is entering
işlerini,jobs
melek,angel
mektubu,letter
atıyor,beats
döner,rotary
üniversite,university
başın,Press
kadarı,up
şaşırdım,I was surprised
haberleri,news
gelmeye,come to
yıldızı,star
yıldan,years
düşünce,idea
kaldırın,lift
katie,katie
dersi,course
bilmen,know
birilerini,someone
diyorsunuz,you say
miles,miles
talep,request
kaybı,loss
savaşta,in battle
elizabeth,elizabeth
sabit,constant
bıraktın,you left
oldukları,they are
bugünkü,current
ertesi,next
babamla,with my dad
olsaydın,if you were
esas,basis
duygu,emotion
hoşlanıyorum,I like
seri,sherry
kilitli,locked
tekisin,you're
diyebilirim,I can say
yaptığınız,you do
bayıldım,I love it
görmedin,you have not seen
gündüz,day
marty,marty
deri,skin
olacaksınız,you will be
kalmayacak,will remain
yahu,ahoy
içindi,It was to
fazlasıyla,more than enough
içi,intra-
nin,the
yazdım,I wrote
koru,grove
düz,flat
yemeğine,to eat
kocası,husband
bahsetti,mentioned
kişiye,people
yedin,seven of the
kaybetmek,lose
nişan,engagement
sevdiğimi,I love you
eskisi,old one
cadı,witch
değildin,you did not
verebilirim,I can give
kalbim,my heart
gittikçe,more and more
pasta,cake
barry,barry
inanmak,believe
sorunları,issues
paran,your money
vermelisin,You gotta give
acıyor,It hurts
bahsediyoruz,we're talking about
haklıydın,you were right
kaydı,registration
taylor,taylor
tebrik,greeting
temas,contact
vuruldu,It was shot
görmüyorum,I do not see
çocuklarla,with children
anahtarları,switches
eller,hands
ettiğimi,I've
felaket,disaster
geldiğiniz,you come
annenle,your mother
önemsiz,insignificant
risk,risk
sandviç,sandwich
olmamı,not my
model,model
ayrıldı,Left
şanslısın,you're lucky
girdin,input
kadeh,glass
kilise,the church
kimseyle,anyone
aldınız,you received
abby,abby
kazanan,winning
gördüğünüz,you see
rahibe,nun
etrafı,around
sevmem,I do not like
lily,lily
ellerinde,their hands
sonsuz,endless
dik,steep
japon,Japanese
kıçına,ass
raporu,report
telefonunu,phone
sonuçları,results
sensiz,without you
hapishane,prison
operasyon,operation
sağlamak,provide
çığlık,scream
başının,head
hile,trick
durdurmak,stop
verilen,given
hikayeyi,story
otuz,thirty
yanıyor,on fire
bakan,minister
kızımı,my daughter
kanser,cancer
alırsın,you get
bilinen,known
lezzetli,delicious
roma,Rome
suçun,crime
hayvanlar,animals
çalışır,works
söylemeyi,tell
hastalığı,disease
kılıç,sword
demişti,he said
düşünme,thinking
sihirli,magic
müfettiş,inspector
herifi,guy
kapıları,doors
tavşan,rabbit
buluruz,we find
ayda,month
çıktın,the output
kamp,camp
verip,whether
umuyorum,I hope
kanun,law
yağ,oil
erkeğin,men
noeller,christmas
ederdim,I would
başlayacak,to begin
hoşlanıyor,enjoy
nate,nata
kimden,from who
tabiki,of course
patrick,patrick
akıllıca,wisely
karşıya,across
düşmüş,fallen
toz,powder
beşinci,fifth
müziği,music
tur,type
sarışın,blonde
sakinleş,calm down
olabilirler,can
normalde,normally
İster,either
yokken,in the absence of
gitmen,Do not go
vergi,tax
olanlardan,ones
uzman,expert
güvenliği,security
yapıyordu,I was doing
helen,helen
oğlunu,son
öğlen,noon
sağlayacak,will provide
yemeğini,the meal
olacaklar,will be
yanıma,yanıma
konuşmalıyız,We need to talk
yorgunum,I'm tired
hikayesi,story
aşkın,over
jean,jean
istemedi,he did not want
davranış,behaviour
saattir,hours
mola,break
davayı,case
diz,knee
öldüğü,died
geceki,night
bar,bar
suyun,of water
acımasız,brutal
meydan,square
sessizlik,silence
ormanda,in the woods
korusun,bless
günleri,days
arasına,between
a,a
Andrew,Andrew
viski,whiskey
mezun,graduated
devamlı,continuous
olabilecek,will be
edemiyorum,I can not
olamam,I can not be
donna,donna
üzerime,upon me
hatırladım,I remembered
müsün,mucin
çıkarma,extraction
annesinin,his mother
durdurun,stop
olacağı,will be
böcek,insect
parayla,With money
karımı,my wife
döndün,you're back
askerler,soldiers
olmalıydı,it should have been
resmini,your picture
parçaları,pieces
bildiğimiz,we know
çağrı,call
moda,fashion
olmalılar,They should be
çalıyor,playing
etmemi,to my
yarış,race
gümüş,silver
vermez,does not
sahiden,really
götürdü,he took
tekne,boat
gönderin,send
İtalyan,Italian
